"id","nombre","departamento_id"
"179","SAN FRANCISCO LA UNIO     ",13
"180","SAN JUAN OSTUNCALCO       ",13
"181","SAN MARTIN SACATEPEQU     ",13
"182","SAN MATEO                 ",13
"183","SAN MIGUEL SIGUILA        ",13
"184","SIBILIA                   ",13
"185","ZUNIL                     ",13
"186","CANILLA                   ",14
"187","CHAJUL                    ",14
"188","CHICAMAN                  ",14
"189","CHICHE                    ",14
"190","CHICHICASTENANGO          ",14
"191","CHINIQUE                  ",14
"192","CUNEN                     ",14
"193","IXCAN                     ",14
"194","JOYABAJ                   ",14
"195","NEBAJ                     ",14
"196","PACHALUM                  ",14
"197","PATZITE                   ",14
"198","SACAPULAS                 ",14
"199","SAN ANDRES SAJCABAJA      ",14
"200","SAN ANTONIO ILOTENANG     ",14
"201","SAN BARTOLOME  JOCOTE     ",14
"202","SAN JUAN COTZAL           ",14
"203","SAN PEDRO JOCOPILAS       ",14
"204","SANTA CRUZ DEL  QUICH     ",14
"205","USPANTAN                  ",14
"206","ZACUALPA                  ",14
"207","CHAMPERICO                ",15
"208","EL ASINTAL                ",15
"209","NUEVO SAN CARLOS          ",15
"210","RETALHULEU                ",15
"211","SAN ANDRES VILLA SECA     ",15
"212","SAN FELIPE                ",15
"213","SAN MARTIN ZAPOTITLAN     ",15
"214","SAN SEBASTIAN             ",15
"215","SANTA CRUZ MULUA          ",15
"216","ALOTENANGO                ",16
"217","ANTIGUA GUATEMALA         ",16
"218","CIUDAD VIEJA              ",16
"219","JOCOTENANGO               ",16
"220","MAGDALENA MILPAS ALTA     ",16
"221","PASTORES                  ",16
"222","SAN ANTONIO AGUAS CAL     ",16
"223","SAN BARTOLOME MILPAS      ",16
"224","SAN LUCAS SACATEPEQUE     ",16
"225","SAN MIGUEL DUE�AS         ",16
"226","SANTA CATARINA BARAHO     ",16
"227","SANTA LUCIA MILPAS AL     ",16
"228","SANTA MARIA DE JESUS      ",16
"229","SANTIAGO SACATEPEQUEZ     ",16
"230","SANTO DOMINGO XENACOJ     ",16
"231","SUMPANGO                  ",16
"232","AYUTLA                    ",17
"233","CATARINA                  ",17
"234","COMITANCILLO              ",17
"235","CONCEPCION TUTUAPA        ",17
"236","EL QUETZAL                ",17
"237","EL RODEO                  ",17
"238","EL TUMBADOR               ",17
"239","ESQUIPULAS PALO GORDO     ",17
"240","IXCHIGUAN                 ",17
"241","LA REFORMA                ",17
"242","MALACATAN                 ",17
"243","NUEVO PROGRESO            ",17
"244","OCOS                      ",17
"245","PAJAPITA                  ",17
"246","RIO BLANCO                ",17
"247","SAN ANTONIO SACATEPEQ     ",17
"248","SAN CRISTOBAL CUCHO       ",17
"249","SAN JOSE OJETENAM         ",17
"250","SAN LORENZO -SMA-         ",17
"251","SAN MARCOS                ",17
"252","SAN MIGUEL  IXTAHUACA     ",17
"253","SAN PABLO                 ",17
"254","SAN PEDRO SACATEPEQUE -SMA-",17
"255","SAN RAFAEL PIE DE  LA     ",17
"256","SIBINAL                   ",17
"257","SIPACAPA                  ",17
"258","TACANA                    ",17
"259","TAJUMULCO                 ",17
"260","TEJUTLA                   ",17
"261","BARBERENA                 ",18
"262","CASILLAS                  ",18
"263","CHIQUIMULILLA             ",18
"264","CUILAPA                   ",18
"265","GUAZACAPAN                ",18
"266","NUEVA SANTA ROSA          ",18
"267","ORATORIO                  ",18
"268","PUEBLO NUEVO VI�AS        ",18
"269","SAN JUAN TECUACO          ",18
"270","SAN RAFAEL LAS FLORES     ",18
"271","SANTA CRUZ  NARANJO       ",18
"272","SANTA MARIA IXHUATAN      ",18
"273","SANTA ROSA DE LIMA        ",18
"274","TAXISCO                   ",18
"275","CONCEPCION                ",19
"276","NAHUALA                   ",19
"277","PANAJACHEL                ",19
"278","SAN  LUCAS TOLIMAN        ",19
"279","SAN ANDRES SEMETABAJ      ",19
"280","SAN ANTONIO PALOPO        ",19
"281","SAN JOSE CHACAYA          ",19
"282","SAN JUAN LA LAGUNA        ",19
"283","SAN MARCOS LA LAGUNA      ",19
"284","SAN PABLO LA LAGUNA       ",19
"285","SAN PEDRO LA LAGUNA       ",19
"286","SANTA CATARINA IXTAHU     ",19
"287","SANTA CATARINA PALOPO     ",19
"288","SANTA CLARA LA LAGUNA     ",19
"289","SANTA CRUZ LA LAGUNA      ",19
"290","SANTA LUCIA UTATLAN       ",19
"291","SANTA MARIA VISITACIO     ",19
"292","SANTIAGO ATITLAN          ",19
"293","SOLOLA                    ",19
"294","CHICACAO                  ",20
"295","CUYOTENANGO               ",20
"296","MAZATENANGO               ",20
"297","PATULUL                   ",20
"298","PUEBLO NUEVO              ",20
"299","RIO BRAVO                 ",20
"300","SAMAYAC                   ",20
"301","SAN ANTONIO SUCHITEPE     ",20
"302","SAN BERNARDINO            ",20
"303","SAN FRANCISCO ZAPOTIT     ",20
"304","SAN GABRIEL               ",20
"305","SAN JOSE EL  IDOLO        ",20
"306","SAN JUAN BAUTISTA         ",20
"307","SAN LORENZO               ",20
"308","SAN MIGUEL PANAN          ",20
"309","SAN PABLO JOCOPILAS       ",20
"310","SANTA BARBARA             ",20
"311","SANTO DOMINGO SUCHITE     ",20
"312","SANTO TOMAS LA UNION      ",20
"313","VARIOS                    ",20
"314","ZUNILITO                  ",20
"315","MOMOSTENANGO              ",21
"316","SAN ANDRES XECUL          ",21
"317","SAN BARTOLO               ",21
"318","SAN CRISTOBAL TOTONIC     ",21
"319","SAN FRANCISCO EL ALTO     ",21
"320","SANTA LUCIA LA REFORM     ",21
"321","SANTA MARIA CHIQUIMUL     ",21
"322","TOTONICAPAN               ",21
"323","CABA�AS                   ",22
"324","ESTANZUELA                ",22
"325","GUALAN                    ",22
"326","HUITE                     ",22
"327","LA UNION                  ",22
"328","RIO HONDO                 ",22
"329","SAN DIEGO                 ",22
"330","TECULUTAN                 ",22
"331","USUMATLAN                 ",22
"332","ZACAPA                    ",22
"333","RAXRUJA                   ",1
"334","IXMUCANE                  ",14
"335","EL TRIUNFO                ",13
"336","SANTA ELENA               ",12
