"id","nombre"
1,"Achi'"
2,"Akateco"
3,"Awakateco"
4,"Chalchiteco"
5,"Ch'orti"
6,"Chuj"
7,"Garifuna"
8,"Ixil"
9,"Jakalteco"
10,"Kaqchikel"
11,"K'iche"
12,"Ladino"
13,"Mam"
14,"Maya Mopan e Itza"
15,"Poqomam"
16,"Poqomchi"
17,"Q'anjob'al"
18,"Q'eqchi"
19,"Sakapulteco"
20,"Sipakapense"
21,"Tekiteko"
22,"Tz'utujil"
23,"Uspanteko"
24,"Xinca"
